user_id,item_id
100068031,150442941
100097524,388306403
100198255,209277372
100212013,57799007
100226515,326454793
100226515,326454793
100300684,295343505
100442521,244784735
100442521,87030081
100442521,144908872
100442521,125212556
100442521,232446323
100442521,382824384
100442521,85464552
100442521,234530675
100442521,169674678
100695202,294276381
100695202,140402583
100695202,343943224
100695202,301794135
100695202,381053484
100695202,135590247
100695202,294238495
100695202,159088937
100695202,297291753
100695202,294238495
100695202,72326881
100695202,159088937
10088967,148354394
100925722,366882456
10095384,382798463
10095384,346141860
10095384,497688
10095384,96751373
10095384,181316590
101033902,173739868
101105140,50085834
101105140,122611769
101105140,32137315
101105140,42888740
101105140,219316556
101105140,251415584
101321698,387427798
101322904,168975399
10142625,3927580
10142625,194840957
101444554,192503393
101454268,380014297
101454268,92988126
101454268,271184275
101454268,13731587
101454268,379742628
101454268,214412572
101454268,335273308
101454268,140024156
101454268,137062829
101454268,201104559
101454268,50534856
101454268,106775922
101480065,13769868
101480065,314621227
101490976,346835828
101490976,208991770
101490976,386649463
101490976,164373206
101490976,104337075
101490976,190861396
101490976,113824007
101619772,236569151
101684776,274219122
10176801,14784513
10176801,189228077
10176801,390515587
101786713,248514302
101786713,369867652
101847145,123380513
101847145,267737871
101969992,108554418
101969992,95523765
101969992,43762831
101969992,100227884
101969992,32402485
101969992,47902524
101969992,121657420
101969992,352548088
101970481,152026344
101970481,333733990
101970481,115261465
101970481,81594789
101978062,119621319
101982646,186971311
102011320,308458109
102011320,63167806
102030700,372318596
102030700,39374891
102030700,39374891
102033883,207317427
102033883,147985426
102033883,119529607
102033883,281529284
102033883,240622815
102094417,184763797
102094417,327852012
102094417,233730143
102094417,282507943
102094417,113906547
102115747,30692854
102115747,225845743
102115747,115481080
102115747,256746982
102115747,182263020
102115747,156394753
102115747,372182039
102115747,372271027
102415156,241685115
102466261,276802900
102466261,314080873
102466261,185919699
10258551,7441309
102612580,237620262
102612580,179262277
102612580,356836745
102612580,9263594
102616570,15854273
102616570,159323343
102616570,352437695
102616570,132710971
102616570,107184422
102616570,350498078
102616570,294183770
102616570,80009935
102616570,250522432
102616570,374027379
102616570,48885567
102616570,266917495
102616570,111016056
102616570,262498597
102616570,306374432
102616570,15854273
102616570,86980283
102616570,229642435
102616570,318141507
102616570,400096301
102616570,80820871
102616570,235492929
102616570,46309151
102616570,297023484
102616570,283839172
102650143,192191023
102650143,166673990
102650143,54757121
102650143,62293848
102676297,272482949
102676297,249485797
102676297,291686914
102831484,121572318
102831484,134674087
102831484,227405032
102831484,342937973
102831484,134674087
102831484,298074876
102831484,282633945
102856393,211534873
102868558,98493736
102868558,164456151
102868558,10472350
102868558,276130361
102868558,333472141
102868558,275220472
103044784,298653441
103044784,298653441
103139791,224173845
103147567,291601993
103147567,81174147
103193989,270027209
103193989,234760759
103193989,226949200
103193989,315455915
103193989,112498563
103193989,72883547
103193989,392521157
103193989,158470722
103215328,399583354
103215328,91519354
103215328,61669409
103215328,292221755
103215328,33446792
103215328,360904939
103215328,126238643
103215328,205866909
103399801,43134506
103490614,300814663
103490614,6428045
103490614,79590796
103490614,122771636
103750921,8109109
103751368,105156296
103794013,386082841
103794013,48385377
103794013,323744975
103809220,294748334
103871479,80462517
103954435,85829471
103954435,118385858
103954435,256308041
103954435,151591191
103995979,346543646
103995979,154343051
103995979,247350693
103995979,123363315
103995979,315127568
103995979,229934131
103995979,370590315
103995979,130762843
103995979,333729402
103995979,139866980
103995979,154343051
103995979,9812918
103995979,248527353
103995979,215731758
103995979,316703161
103995979,229934131
103995979,194013667
103995979,346543646
103995979,368977861
103995979,303537791
103995979,215731758
103995979,150634316
103995979,344901095
103995979,59187302
103995979,73980427
103995979,352993048
104127037,309441735
104127037,337328609
104127037,363933836
104210074,279768205
104210074,147753482
104256814,362840568
104328850,271857690
104328850,325013086
104328850,367113455
104328850,152524973
104328850,160631236
104328850,348033639
104328850,318434579
104328850,72336829
104328850,235855635
104328850,278208180
104328850,158535576
104328850,65096329
104328850,394591343
104328850,132718237
104328850,290329362
104328850,192157871
104328850,189898446
104328850,177091835
104328850,91345386
104328850,52601688
104328850,353919011
104328850,128120281
104328850,169893059
104328850,64860661
104328850,344545491
104328850,404424094
104328850,317208379
104448961,156177449
104465491,76923162
104479195,341313161
104479195,143918320
104479195,390038426
104479195,362796325
104479195,329127891
104479195,161450933
104492647,230175498
104644609,127012052
104644609,175963265
104644609,188510182
104644609,196526960
104644609,378158
104666221,73664102
104746432,366014006
104746432,211846726
104746432,196336818
10496835,127102532
105026093,211368631
105026093,276308875
1050718,146606019
1050718,372606096
1050718,289886391
105223232,51985207
105223232,272167277
105223232,308156483
105258653,257292914
105258653,7220040
105258653,326606256
105265070,108530065
105265070,196044593
105265070,257324699
105265070,133577013
105308678,206772737
105315608,332141928
105315608,67285510
105315608,386436338
105315608,247150835
105315608,236550359
105315608,22480731
105315608,114765762
105315608,229135518
105315608,157003463
105382949,38152249
105382949,79484215
105382949,99994695
105410696,143118013
105410696,313461858
105410696,144697349
105410696,226069288
105410696,76491831
105579380,94844188
105579380,298498707
105579380,226014539
105579380,242178345
105579380,160709601
105579380,84890445
105579380,138854162
105579380,44351
105579380,282406089
105579380,387915635
105579380,146571315
105579380,24226047
105579380,268202823
105579380,148849549
105579380,190625910
105579380,44569914
105579380,204139818
105579380,397874573
105579380,44569914
105579380,377990126
105618998,265931832
105618998,204209680
105618998,342621714
105618998,312679388
105618998,51022456
105618998,252838293
105642857,276074697
105642857,276074697
105744281,354059
105836258,369607033
105836258,77771654
105906755,167822567
105906755,144976417
105906755,259013587
105906755,63840223
105906755,238973707
10591638,404294787
10591638,168753758
10591638,124819001
10591638,70155460
10591638,297897393
10591638,242721033
10591638,24158999
10591638,347574543
10591638,223462097
10591638,401653934
106058027,333791611
106105154,403103924
106105154,344981856
106105154,30088906
106105154,45480071
106157618,129420049
106157618,286902851
106157618,161651124
106157618,325728164
106230941,206817137
106255052,295231275
106255052,359392265
106255052,391993006
106255052,135925107
106255052,45070321
106255052,303258719
106478345,189839625
106478345,79392947
106508543,243578352
106508543,300766361
106508942,187388585
106508942,352940103
106531595,280351265
106579874,57834871
106579874,183948499
106579874,280586198
106579874,173558663
106639460,214905507
106639460,260421493
106639460,388998815
106778951,154455248
106778951,349770970
106778951,54375951
106778951,256506746
106778951,212629676
106778951,215720005
106778951,303025867
106778951,71743660
106778951,47726956
106778951,116609901
106778951,231390479
106778951,54243076
106778951,389129871
106778951,249976517
10684992,382323351
10684992,231886063
10684992,217004011
106960781,165388562
106960781,293720402
106960781,302662098
106960781,323051177
106960781,43010213
106960781,20958861
106960781,22251372
106960781,314954321
106960781,216634390
106960781,161677901
106960781,90763369
106960781,328874301
106960781,52913439
106960781,142061922
106960781,149128709
106960781,332669811
106960781,324914907
106960781,309721272
106960781,51402966
106960781,293720402
106960781,47263171
106960781,212309324
106960781,171449370
106960781,125923378
107075849,294607494
107075849,363327350
107075849,365857759
107075849,393362413
107075849,180577719
107075849,285882527
107075849,314373031
107075849,133217938
107075849,71712709
107075849,155289337
107100014,354111710
